"","region","year","week","total","weekly_birth_rate","weekly_death_rate","birth","death"
"1","Peninsular",2017,1,25302700,0.000316793495130194,0.000107228599197836,416818,141085
"2","Peninsular",2018,53,25593200,0.000308529218698717,0.000108183784394653,410605,143976
"3","Peninsular",2019,105,25713100,0.000298067163011491,0.00010860821317359,398540,145218
"4","Peninsular",2020,157,26479700,0.000279425952129948,0.000100117332261201,384754,137856
"5","Peninsular",2021,209,26602200,0.000264104819555121,0.000135848365346302,365340,187921
"6","Peninsular",2022,261,26713000,0.000249947447079929,0.000124068085547515,347196,172340
"7","Peninsular",2023,313,27203800,0.000264400278920309,0.000115837889163675,374020,163864
